activity_name,activity_type,activity_category,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,ir_type,linked_service,depends_on
test_task_1,DatabricksNotebook,Transformation,test_notebook_pipeline,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
test_task_2,DatabricksNotebook,Transformation,test_notebook_pipeline,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Job1,Unknown,Unknown,pipeline2,adf-jovi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,AzureDatabricksTest,[]
Test Simple Notebook,DatabricksNotebook,Transformation,pipeline1,adf-jovi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
TriggerDatabricksJob,WebActivity,DataAccess,databricks_orchestration,adf-jovi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
TestPython,DatabricksSparkPython,Transformation,TestPython,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Set variable1,SetVariable,ControlFlow,TestPython,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Set X,SetVariable,ControlFlow,TestPython,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Test_anf,DatabricksNotebook,Transformation,adf_anf_test,anf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Step1,DatabricksNotebook,Transformation,notebook-jobs-cluster,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Step2,DatabricksNotebook,Transformation,notebook-jobs-cluster,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Step3,DatabricksNotebook,Transformation,notebook-jobs-cluster,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Notebook1,DatabricksNotebook,Transformation,pipeline1,anup-adf-explore,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
step1,ExecutePipeline,ControlFlow,notebook-serverless,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
step2,ExecutePipeline,ControlFlow,notebook-serverless,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
step3,ExecutePipeline,ControlFlow,notebook-serverless,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Execute Workflow Run API,WebActivity,DataAccess,Databricks - Trigger Workflow,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Wait Until Job Completes,Until,ControlFlow,Databricks - Trigger Workflow,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Check Job Status,IfCondition,ControlFlow,Databricks - Trigger Workflow,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Get Job Run URL,WebActivity,DataAccess,Databricks - Trigger Workflow,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Set Run Page URL,SetVariable,ControlFlow,Databricks - Trigger Workflow,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Execute Jobs API,WebActivity,DataAccess,Databricks - Run Serverless Notebook,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Wait Until Job Completes,Until,ControlFlow,Databricks - Run Serverless Notebook,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Check Job Status,IfCondition,ControlFlow,Databricks - Run Serverless Notebook,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Get Job Run URL,WebActivity,DataAccess,Databricks - Run Serverless Notebook,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Set Run Page URL,SetVariable,ControlFlow,Databricks - Run Serverless Notebook,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
pn-test-adf,DatabricksNotebook,Transformation,pipeline1,pn-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
PB Run-Now ADF Databricks Serverless Sample Job,Unknown,Unknown,PB_ADF,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,AzureDatabricks1,[]
PB Run-Now ADF Parameter_Markers_Serverless,Unknown,Unknown,PB_ADF,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,AzureDatabricks1,[]
Databricks - Trigger Workflow,ExecutePipeline,ControlFlow,workflow-serverless,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Job1,Unknown,Unknown,pipeline1,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,AzureDatabricks1,[]
Notebook1,DatabricksNotebook,Transformation,pipeline2,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Execute Jobs API,WebActivity,DataAccess,TescoDBT,tesco-dbt,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
copy-facts,Copy,DataMovement,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
copy-divisions,Copy,DataMovement,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
