pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,linked_service_name,compute_type_inferred,notebook_path,job_id,new_cluster_node_type,new_cluster_num_workers,new_cluster_version,existing_cluster_id,instance_pool_id,subscription_name
test_hms_sample_ELC_pipe_val_uc,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sample append table,DatabricksNotebook,,unknown,,,,,,,,field-eng
test_hms_sample_ELC_pipe_val_uc,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,sample update table,DatabricksNotebook,,unknown,,,,,,,,field-eng
Yet another Serverless Pipeline,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Teste Serverless Cost Optimized,DatabricksNotebook,,unknown,,,,,,,,field-eng
test_hms_sample_ELC_pipe_val,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sample append table,DatabricksNotebook,,unknown,,,,,,,,field-eng
test_hms_sample_ELC_pipe_val,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,sample update table,DatabricksNotebook,,unknown,,,,,,,,field-eng
Workspace_Init_Scripts,andreatardif,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Test_Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
new_pipeline,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,InitNotebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
thhart-filter-pii-pipeline,thhart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,thhart-filter-pii-pipeline,DatabricksNotebook,,unknown,,,,,,,,field-eng
thhart-ocr-pipeline,thhart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,thhart-ocr-notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
lineage_issue_repro,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Initial_datagen,DatabricksNotebook,,unknown,,,,,,,,field-eng
lineage_issue_repro,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Apples,DatabricksNotebook,,unknown,,,,,,,,field-eng
lineage_issue_repro,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Bananas,DatabricksNotebook,,unknown,,,,,,,,field-eng
lineage_issue_repro,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Inserts_updates_to_source,DatabricksNotebook,,unknown,,,,,,,,field-eng
lineage_issue_repro,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Apples_copy1,DatabricksNotebook,,unknown,,,,,,,,field-eng
lineage_issue_repro,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Bananas_copy1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,odoren-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,odoren-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook2,DatabricksNotebook,,unknown,,,,,,,,field-eng
dynamic_linked_service_for_db_cluster,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,GetControlTableMetadata,DatabricksNotebook,,unknown,,,,,,,,field-eng
pl_databricks_demo_serverless,durak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Execute_Data_Ingestion_Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
pl_databricks_demo_serverless,durak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Execute_Data_Transformation_Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
pl_databricks_demo_serverless,durak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Execute_Data_Export_Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,ie-adf-01,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
test_pipeline,ppai-azure-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,dbx_notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbrx_only_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,left_python,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbrx_only_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,right_python,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbrx_only_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,left_sql,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbrx_only_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,right_sql,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbrx_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbrx_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Agg,DatabricksNotebook,,unknown,,,,,,,,field-eng
cse_demo_pipeline,CSEdemoDataFactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SalesETL,DatabricksNotebook,,unknown,,,,,,,,field-eng
first_pipeline,CSEdemoDataFactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
fleetmaintenance-copy,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,execute batch delta load,DatabricksNotebook,,unknown,,,,,,,,field-eng
fleetmaintenance-copy_detailed,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,execute batch delta load,DatabricksNotebook,,unknown,,,,,,,,field-eng
ACL Testing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
UC Test pipeline 2,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,UC Pipeline Test,DatabricksNotebook,,unknown,,,,,,,,field-eng
UC Test pipeline,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,UC Pipeline Test,DatabricksNotebook,,unknown,,,,,,,,field-eng
Full Path,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
UC Test pipeline 3,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,UC Pipeline Test,DatabricksNotebook,,unknown,,,,,,,,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,ADF Testing Pipeline Test,DatabricksNotebook,,unknown,,,,,,,,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,UC Pipeline Test,DatabricksNotebook,,unknown,,,,,,,,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,ADF Testing Pipeline Test 2,DatabricksNotebook,,unknown,,,,,,,,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,UC Pipeline Test 2,DatabricksNotebook,,unknown,,,,,,,,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,ADF Testing Pipeline Test 3,DatabricksNotebook,,unknown,,,,,,,,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,UC Pipeline Test 3,DatabricksNotebook,,unknown,,,,,,,,field-eng
User Assigned MI,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,adf-csc168,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,adf-csc168,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook2,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,adf-csc168,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook3,DatabricksNotebook,,unknown,,,,,,,,field-eng
wkmigrate_test_variables,adf-wkmigrate-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,RunNotebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
UC_Demo_Pipeline,adf-csc168,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,UC_Demo,DatabricksNotebook,,unknown,,,,,,,,field-eng
run-nb-test,uday-satapathy-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,create-df,DatabricksNotebook,,unknown,,,,,,,,field-eng
run-nb-sp,uday-satapathy-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,spark-range-nb,DatabricksNotebook,,unknown,,,,,,,,field-eng
P2,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
cb_cvs_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbx-scb-udp,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,run_migration_workflow,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbx_scb_aj_copy_convert,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,convertToDelta,DatabricksNotebook,,unknown,,,,,,,,field-eng
010 - Job Cluster With Custom Policy,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Hello World Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
dbx_scb_aj_copy,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,spark_r_w,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,run_notebook_from_adf,DatabricksNotebook,,unknown,,,,,,,,field-eng
P1,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
01 - Init_Script_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Hello World Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy1,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy2,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy3,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy4,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy5,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy6,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy7,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy8,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy9,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_interactive_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy10,DatabricksNotebook,,unknown,,,,,,,,field-eng
esd_execute_pipe,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,ntb-instance-pool,DatabricksNotebook,,unknown,,,,,,,,field-eng
init_script_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Hello World Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline2,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
repsol_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Jar1,DatabricksSparkJar,,unknown,,,,,,,,field-eng
999 - Multi Processing Concurrent Futures,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,multi_processing_concurrent_futures,DatabricksNotebook,,unknown,,,,,,,,field-eng
