pipeline_name,factory_name,factory_type,subscription_id,is_metadata_driven,confidence,signals_found,parameter_count,variable_count,has_foreach_executepipeline,has_parameterized_datasets,metadata_param_count,template_group_id,subscription_name
adf_direct_job_run_example,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,0,False,False,0,-8753497827991233192,field-eng
pipeline1,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipeline1,odoren-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,7908883273554468382,field-eng
run_serverless_notebook,durak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-8753497827991233192,field-eng
pipeline1,rz-test-adf2,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,1506450934327738926,field-eng
dynamic_linked_service_for_db_cluster,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,4,0,False,False,0,4932697301434097089,field-eng
pl_databricks_demo_serverless,durak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,2,0,False,False,0,-1605358778252954976,field-eng
pipeline1,ie-adf-01,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
Databricks - Trigger Workflow,sz-adf-dbx2,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,4,1,False,False,0,-799679732793681488,field-eng
wrapper_job,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-1458777991191879360,field-eng
Copy Test,DemoTelevisa,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,2986451988485003859,field-eng
