pipeline_name,factory_name,subscription_id,subscription_name,activity_type,count
bordgais_parallel,peteh-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Wait,2
caio_adf_kmpg,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
call_dbrx_notebook,Test-Databricks-Workflows-RunNow,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
cb_cvs_test,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
control_flow,competitive-factory,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ForEach,1
control_flow,competitive-factory,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,IfCondition,1
control_flow,competitive-factory,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,SetVariable,2
copy_salesforce,bilal-salesforce-factory,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ForEach,1
cse_demo_pipeline,CSEdemoDataFactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
cse_demo_pipeline,CSEdemoDataFactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,2
csvToSql,ADF-kmati,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
csvtojson,jok-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecuteDataFlow,1
databricks_job_hello_world,tfayyaz-ne-adf,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Until,1
databricks_job_hello_world,tfayyaz-ne-adf,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,WebActivity,1
databricks_job_web_activity,tfayyaz-ne-adf,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,AppendVariable,4
databricks_job_web_activity,tfayyaz-ne-adf,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Until,1
databricks_job_web_activity,tfayyaz-ne-adf,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,WebActivity,1
databricks_orchestration,adf-jovi-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
databricks_uc_test_none_accessmode,pmt-adf-west-us,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,DatabricksNotebook,1
