pipeline_name,factory_name,subscription_id,subscription_name,copy_activity_count,distinct_source_connectors,distinct_sink_connectors
Copy_JSON_to_Parquet_Snappy,tfayyaz-ne-adf,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,2,1,1
Copy_win_totals,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
DBSQL_ODBC,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
DatabricksNotebooks,adf-runs,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,1,1,1
Databricks_Cluster_List_MI,jok-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Databricks_Cluster_List_and_Select_MI,jok-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Databricks_Cluster_test1,jok-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Delta-copyTo-fleetmaintenance,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Delta-copyTo-fleetmaintenance2,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
DeltaLakeAccessUCDemo,adf-csc168,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Excel,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Extract Parquet to SQLDW,jok-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
FullCopyPipeline,stuart-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Import Telemetry,jok-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Import Telemetry 2,jok-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
IncrementalCopyPipeline,stuart-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,10,1,1
Ingest AdventureWorksOLTP to Landing,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,10,1,1
Ingest AdventureWorksOLTP to Landing Test,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,10,1,1
Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,10,1,1
PL_GENERIC_INGEST_WATERMARK,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
PL_Generic_Full_Load,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
PL_Generic_SQL_CHANGETRACKING,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
PL_ODBC_Decrypt_Generic,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
csvToSql,ADF-kmati,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
dbrookes_sales_pipeline,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
dbx_scb_aj_copy_convert,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
fleetmaintenance-copy,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,2,1,1
fleetmaintenance-copy_detailed,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,2,1,1
fleetmaintenance-copy_toDelta,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
fleetmaintenance-copy_toDelta_copy1,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
fleetmaintenance-copy_usingJob,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,2,1,1
mb-test,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
