activity_name,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,source_connector,sink_connector,source_linked_service,sink_linked_service,source_dataset,sink_dataset,ir_type_used
Copy_zxz,CopyPipeline_zxz,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,Azure Synapse Analytics (SQL Pool),,,SourceDataset_zxz,DestinationDataset_zxz,Azure
Copy data1,pipeline1,mweu-adf-d-kanchwala-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,Parquet1,Parquet1,Azure
Copy_kwj,CopyPipeline_otis_adls_gen2,adf-otis-cosmosdb,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure Cosmos DB,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_kwj,DestinationDataset_kwj,Azure
Copy_efm,movefromcsv,rrcadfvivo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Azure SQL Database,,,SourceDataset_efm,DestinationDataset_efm,Azure
Copy_fmo,CopyPipeline_adls_cosmos,adf-otis-cosmosdb,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Azure Cosmos DB,,,SourceDataset_fmo,DestinationDataset_fmo,Azure
Copy data1,pipeline2,bnelsondatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Databricks Delta Lake,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AzureDatabricksDeltaLakeDataset1,DelimitedText1,Azure
Copy data1,CopyADLStoDeltaLake,adf-fe-uae-01,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Databricks Delta Lake,,,ADLS_File01,UC_ADFTest02,Azure
Copy_g4l,CopyPipeline_g4l,ray-data-factory-1,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_g4l,DestinationDataset_g4l,Azure
Copy_lem,CopyPipeline_lem,ray-data-factory-1,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_lem,DestinationDataset_lem,Azure
Copy_ivn,CopyPipeline_ivn,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_ivn,DestinationDataset_ivn,Azure
Copy_Cloudflare_Logs,Copy_JSON_to_Parquet_Snappy,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceAdlsGen2_cloudflare_logs_multilinejson,DestinationADLSGen2_adf_ingestion_raw_cloudflare_logs_raw,Azure
Copy_Machine_Logs,Copy_JSON_to_Parquet_Snappy,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceAdlsGen2_machine_logs_multilinejson,DestinationADLSGen2_adf_ingestion_raw_cloudflare_logs_raw_copy1,Azure
Copy_k3m,CopyPipeline_Yellow_Parquet,tfayyaz-west-us-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Databricks Delta Lake,,,SourceDataset_k3m,DestinationDataset_k3m,Azure
Copy_bn5,CopyPipeline_bn5,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_bn5,cloudflare_logs_raw_copy_demo_json,Azure
CopyAccounts,DatabricksNotebooks,adf-runs,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Salesforce,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SalesforceObject1,AccountsParquet,Azure
Copy_nmh,CopyPipeline_nmh,pmt-adf-jason-ping-sftp,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,SFTP,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_nmh,DestinationDataset_nmh,Azure
Copy_vgw,CopyPipeline_vgw,rayzhu-sf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_vgw,DestinationDataset_vgw,Azure
