pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,detected_technique,confidence,evidence,source_connector,sink_connector,has_watermark_lookup,has_downstream_sproc,has_downstream_spark,copy_upsert_enabled,cdc_references_found,watermark_references_found,subscription_name
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductModelProductDescription,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductCategory,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest Address,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest CustomerAddress,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest SalesOrderDetail,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest SalesOrderHeader,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest Customer,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductModel,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductDescription,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest Product,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
